emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,combined_annual_income,combined_dti,months_since_last_delinq_never,months_since_90d_late_never,months_since_last_credit_inquiry_never,emp_length_missing,credit_history_years,loan_to_income,installment_to_income,credit_utilization_ratio,open_credit_ratio,cc_balance_ratio,open_cc_ratio,recent_account_ratio,accounts_per_credit_year,inquiries_per_credit_year,total_negative_marks,has_delinq_history,region,log_annual_income,log_loan_amount,target_delinquent
4.0,KY,MORTGAGE,98000.0,18.63,0,999.0,4,17,12,153440,52353,0,1,999.0,0,0,4,4,8.0,12,0,4,14000,9,7,5,2,100.0,0,1,debt_consolidation,individual,29825,60,98000.0,18.63,1,1,0,0,10,0.30433673469387756,0.060867346938775505,0.34119525547445256,0.7058823529411765,0.7142857142857143,0.7777777777777778,0.23529411764705882,1.7,0.4,2,1,South,11.49273296168228,10.303135775322728,0
10.0,IL,RENT,140000.0,5.3,0,49.0,0,10,5,51179,25968,0,0,999.0,0,2033,1,2,14.0,5,0,3,16000,6,4,3,0,100.0,0,0,other,individual,20000,36,140000.0,5.3,0,1,0,0,9,0.14285714285714285,0.04761904761904762,0.5073956114812717,0.5,0.75,0.6666666666666666,0.2,1.1111111111111112,0.0,0,0,Midwest,11.849404844423074,9.90353755128617,0
10.0,CA,MORTGAGE,100000.0,6.18,0,60.0,2,20,7,397221,32720,0,0,60.0,0,0,1,2,1.0,7,0,0,5000,14,5,0,3,100.0,0,0,other,individual,24000,60,100000.0,6.18,0,0,0,0,11,0.24,0.047999999999999994,0.08237228142520159,0.35,0.0,0.35714285714285715,0.1,1.8181818181818181,0.18181818181818182,0,0,West,11.51293546492023,10.085850775128717,0
3.0,KS,OWN,45000.0,19.73,0,999.0,0,6,5,35426,26140,0,0,999.0,0,0,2,5,21.0,5,0,2,11000,3,3,3,0,100.0,0,0,debt_consolidation,individual,20000,36,45000.0,19.73,1,1,0,0,8,0.4444444444444444,0.14814814814814814,0.7378761361711738,0.8333333333333334,1.0,1.0,0.8333333333333334,0.75,0.0,0,0,Midwest,10.714439990727769,9.90353755128617,0
10.0,MS,MORTGAGE,96000.0,25.74,2,11.0,1,23,10,335214,88847,0,0,999.0,0,0,4,1,11.0,10,0,4,46800,12,5,5,1,87.0,0,0,debt_consolidation,individual,7500,36,96000.0,25.74,0,1,0,0,22,0.078125,0.026041666666666668,0.2650456126534095,0.43478260869565216,1.0,0.4166666666666667,0.043478260869565216,1.0454545454545454,0.045454545454545456,2,1,South,11.472113887062386,8.922791623969637,0
10.0,SC,RENT,75000.0,2.05,0,76.0,3,11,8,11200,2556,0,0,76.0,0,1220,0,8,2.0,8,0,5,10500,10,8,6,1,88.9,0,0,other,individual,10000,60,75000.0,2.05,0,0,0,0,23,0.13333333333333333,0.026666666666666665,0.2282142857142857,0.7272727272727273,0.75,0.8,0.7272727272727273,0.4782608695652174,0.13043478260869565,0,0,South,11.225256725762893,9.210440366976517,0
10.0,KS,OWN,67500.0,9.92,0,999.0,5,25,5,99557,25512,0,0,999.0,0,0,1,5,6.0,5,0,0,11000,12,3,1,1,100.0,0,0,debt_consolidation,joint,10000,60,142891.0,6.89,1,1,0,0,13,0.06998341393089838,0.013996682786179673,0.25625521058288214,0.2,0.3333333333333333,0.25,0.2,1.9230769230769231,0.38461538461538464,0,0,Midwest,11.869844379145801,9.210440366976517,0
2.0,MI,OWN,70000.0,0.0,0,37.0,0,12,5,19400,0,0,0,999.0,0,0,0,4,17.0,5,0,0,19100,12,5,0,0,75.0,0,0,small_business,individual,29600,36,70000.0,0.0,0,1,0,0,10,0.4228571428571429,0.14095238095238094,0.0,0.4166666666666667,0.0,0.4166666666666667,0.3333333333333333,1.2,0.0,0,0,Midwest,11.156264806643742,10.295563423525277,0
4.0,NH,OWN,35000.0,11.73,0,55.0,0,7,5,24110,17570,0,0,55.0,0,0,1,4,999.0,5,0,0,0,4,4,2,0,85.7,0,0,credit_card,individual,6100,36,35000.0,11.73,0,0,1,0,3,0.1742857142857143,0.0580952380952381,0.7287432600580672,0.7142857142857143,0.5,1.0,0.5714285714285714,2.3333333333333335,0.0,0,0,Northeast,10.463131911491967,8.716207971151853,0
10.0,MI,MORTGAGE,68000.0,42.66,0,999.0,1,25,13,174533,74066,0,0,999.0,0,0,5,5,12.0,13,0,4,28600,9,7,5,5,100.0,0,0,credit_card,joint,25000,60,131000.0,22.14,1,1,0,0,22,0.19083969465648856,0.03816793893129771,0.4243667386683321,0.52,0.7142857142857143,0.7777777777777778,0.2,1.1363636363636365,0.045454545454545456,0,0,Midwest,11.782960235741939,10.12667110305036,0
6.0,LA,MORTGAGE,70000.0,26.1,0,999.0,0,13,10,294173,47710,0,0,999.0,0,0,2,3,22.0,10,0,6,81200,10,7,6,1,100.0,0,0,debt_consolidation,joint,24000,36,158000.0,23.64,1,1,0,0,17,0.1518987341772152,0.05063291139240506,0.1621834770696155,0.7692307692307693,0.8571428571428571,0.7,0.23076923076923078,0.7647058823529411,0.0,0,0,South,11.970356641102999,10.085850775128717,0
9.0,TX,OWN,36000.0,10.87,0,30.0,5,17,7,166200,14020,0,2,999.0,0,0,0,6,3.0,7,0,4,14500,12,6,6,2,94.1,2,0,other,individual,10000,36,36000.0,10.87,0,1,0,0,9,0.2777777777777778,0.09259259259259259,0.08435619735258724,0.4117647058823529,1.0,0.5,0.35294117647058826,1.8888888888888888,0.5555555555555556,4,1,South,10.491301994830229,9.210440366976517,0
0.0,MO,RENT,26000.0,44.46,0,999.0,3,14,9,52648,41731,0,0,999.0,0,0,1,5,0.0,9,0,1,6900,8,8,7,0,100.0,0,0,credit_card,joint,13000,36,58000.0,21.48,1,1,0,0,10,0.22413793103448276,0.07471264367816093,0.7926416957909133,0.6428571428571429,0.875,1.0,0.35714285714285715,1.4,0.3,0,0,Midwest,10.968215530759236,9.472781556562168,0
10.0,TX,MORTGAGE,80000.0,17.53,0,44.0,0,14,9,228305,34744,0,0,44.0,0,0,1,2,999.0,9,0,5,20000,9,7,6,1,85.7,0,0,credit_card,individual,8000,36,80000.0,17.53,0,0,1,0,24,0.1,0.03333333333333333,0.15218238759554106,0.6428571428571429,0.8571428571428571,0.7777777777777778,0.14285714285714285,0.5833333333333334,0.0,0,0,South,11.289794413577894,8.987321812850125,0
0.0,CA,OWN,150000.0,9.16,1,9.0,2,27,10,835975,96806,0,0,9.0,0,0,1,3,5.0,10,0,3,44000,18,8,6,5,96.2,0,0,other,individual,18000,60,150000.0,9.16,0,0,0,0,29,0.12,0.024,0.11580011363976195,0.37037037037037035,0.75,0.4444444444444444,0.1111111111111111,0.9310344827586207,0.06896551724137931,1,1,West,11.918397239722838,9.798182590890704,0
5.0,WV,OWN,22000.0,8.24,0,999.0,1,4,3,7300,4809,0,0,999.0,0,0,0,0,5.0,3,0,3,7300,3,3,3,0,100.0,0,0,credit_card,individual,8000,36,22000.0,8.24,1,1,0,0,2,0.36363636363636365,0.12121212121212122,0.6587671232876713,0.75,1.0,1.0,0.0,2.0,0.5,0,0,South,9.99884318585288,8.987321812850125,0
1.0,AL,MORTGAGE,52000.0,23.38,0,999.0,1,20,8,132168,29729,0,0,999.0,0,170,3,2,10.0,8,0,2,7000,4,4,2,4,95.0,0,0,debt_consolidation,individual,20000,60,52000.0,23.38,1,1,0,0,9,0.38461538461538464,0.07692307692307693,0.22493341807396647,0.4,0.5,1.0,0.1,2.2222222222222223,0.1111111111111111,0,0,South,10.859018228147887,9.90353755128617,0
5.0,IN,OWN,50000.0,17.26,0,999.0,2,14,9,39289,22712,0,0,999.0,0,0,2,3,7.0,9,0,2,9500,11,7,3,0,100.0,0,0,credit_card,individual,9000,36,50000.0,17.26,1,1,0,0,3,0.18,0.06,0.5780752882486192,0.6428571428571429,0.42857142857142855,0.6363636363636364,0.21428571428571427,4.666666666666667,0.6666666666666666,0,0,Midwest,10.819798284210286,9.105090961257085,0
3.0,FL,RENT,38000.0,21.67,0,999.0,1,21,13,147157,20931,0,0,999.0,0,0,4,2,0.0,13,0,3,69800,14,8,4,1,100.0,0,0,debt_consolidation,individual,25000,60,38000.0,21.67,1,1,0,0,10,0.6578947368421053,0.13157894736842107,0.14223584335097889,0.6190476190476191,0.5,0.5714285714285714,0.09523809523809523,2.1,0.1,0,0,South,10.545367754151743,10.12667110305036,0
0.0,CO,MORTGAGE,175000.0,15.55,0,999.0,2,29,18,328627,115167,0,0,999.0,0,0,7,4,2.0,18,0,7,57900,12,10,9,3,100.0,0,0,credit_card,individual,30000,60,175000.0,15.55,1,1,0,0,18,0.17142857142857143,0.03428571428571429,0.35044898927963924,0.6206896551724138,0.9,0.8333333333333334,0.13793103448275862,1.6111111111111112,0.1111111111111111,0,0,West,12.07254696717504,10.308985993422082,0
7.0,WA,RENT,175000.0,2.75,0,999.0,0,16,5,64000,5939,0,0,999.0,0,0,1,1,999.0,5,0,2,52000,9,4,2,2,100.0,0,0,home_improvement,individual,7000,36,175000.0,2.75,1,1,1,0,26,0.04,0.013333333333333334,0.092796875,0.3125,0.5,0.4444444444444444,0.0625,0.6153846153846154,0.0,0,0,West,12.07254696717504,8.853808274977197,0
3.0,NC,RENT,65000.0,4.1,0,999.0,0,12,4,20500,12101,0,0,999.0,0,0,0,1,999.0,4,0,1,8000,10,4,4,0,100.0,0,0,debt_consolidation,individual,15000,36,65000.0,4.1,1,1,1,0,16,0.23076923076923078,0.07692307692307693,0.5902926829268292,0.3333333333333333,1.0,0.4,0.08333333333333333,0.75,0.0,0,0,South,11.082157933374816,9.61587214452889,0
10.0,TX,OWN,109000.0,35.1,0,999.0,0,47,25,596115,122490,0,0,999.0,0,0,4,5,13.0,25,0,9,110600,35,20,12,1,100.0,0,0,debt_consolidation,individual,30000,36,109000.0,35.1,1,1,0,0,24,0.27522935779816515,0.09174311926605504,0.20548048614780706,0.5319148936170213,0.6,0.5714285714285714,0.10638297872340426,1.9583333333333333,0.0,0,0,South,11.599112335481124,10.308985993422082,0
3.0,AZ,RENT,30000.0,5.68,0,999.0,1,9,6,23700,8511,0,0,999.0,0,0,0,4,8.0,6,0,3,11700,9,6,5,0,100.0,0,0,debt_consolidation,individual,15000,36,30000.0,5.68,1,1,0,0,4,0.5,0.16666666666666669,0.3591139240506329,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.4444444444444444,2.25,0.25,0,0,West,10.308985993422082,9.61587214452889,0
4.0,AR,MORTGAGE,26000.0,72.16,0,999.0,1,28,19,246481,61861,0,0,999.0,0,0,7,8,7.0,19,0,5,15000,12,11,10,1,82.1,0,0,debt_consolidation,joint,16000,60,86000.0,24.21,1,1,0,0,7,0.18604651162790697,0.037209302325581395,0.2509767487149111,0.6785714285714286,0.9090909090909091,0.9166666666666666,0.2857142857142857,4.0,0.14285714285714285,0,0,South,11.362114203075018,9.680406499268875,0
5.0,OR,OWN,23000.0,9.71,0,999.0,0,13,4,35300,5163,0,0,999.0,0,0,0,3,999.0,4,0,2,35300,13,4,2,0,100.0,0,0,credit_card,joint,16800,60,42950.0,37.49,1,1,1,0,5,0.3911525029103609,0.07823050058207218,0.14626062322946176,0.3076923076923077,0.5,0.3076923076923077,0.23076923076923078,2.6,0.0,0,0,West,10.667815210028436,9.729193687429403,0
9.0,IL,OWN,39000.0,16.03,0,47.0,5,37,17,202591,81781,0,0,999.0,0,0,2,8,0.0,17,0,2,16800,19,14,4,2,97.3,0,0,credit_card,individual,11200,36,39000.0,16.03,0,1,0,0,17,0.28717948717948716,0.09572649572649572,0.40367538538237135,0.4594594594594595,0.2857142857142857,0.7368421052631579,0.21621621621621623,2.176470588235294,0.29411764705882354,0,0,Midwest,10.571342565808699,9.32375833901174,0
6.0,VA,RENT,35000.0,11.56,0,999.0,1,19,16,31000,4606,0,2,999.0,0,633,0,10,4.0,16,0,8,15800,18,16,10,0,100.0,0,2,debt_consolidation,individual,11000,36,35000.0,11.56,1,1,0,1,12,0.3142857142857143,0.10476190476190476,0.14858064516129033,0.8421052631578947,0.625,0.8888888888888888,0.5263157894736842,1.5833333333333333,0.08333333333333333,4,1,South,10.463131911491967,9.305741456739435,0
6.0,IL,OWN,72000.0,10.53,3,12.0,6,17,10,101084,29416,0,0,999.0,0,0,1,4,4.0,10,0,5,11600,12,8,7,2,70.6,0,0,debt_consolidation,individual,27000,36,72000.0,10.53,0,1,0,1,17,0.375,0.125,0.291005500375925,0.5882352941176471,0.875,0.6666666666666666,0.23529411764705882,1.0,0.35294117647058826,3,1,Midwest,11.184435286790631,10.203629181337648,0
6.0,CA,RENT,80000.0,19.97,0,999.0,0,12,8,53150,26013,0,0,999.0,0,0,1,0,999.0,8,0,4,28500,11,7,5,0,100.0,0,0,credit_card,individual,30000,60,80000.0,19.97,1,1,1,0,15,0.375,0.075,0.4894261523988711,0.6666666666666666,0.7142857142857143,0.6363636363636364,0.0,0.8,0.0,0,0,West,11.289794413577894,10.308985993422082,0
10.0,NV,MORTGAGE,110000.0,17.5,0,999.0,1,22,15,398173,52030,0,0,999.0,0,0,0,3,11.0,14,0,8,43500,17,13,11,1,100.0,0,0,credit_card,individual,28000,60,110000.0,17.5,1,1,0,0,21,0.2545454545454545,0.05090909090909092,0.13067184364585244,0.6818181818181818,0.8461538461538461,0.7647058823529411,0.13636363636363635,1.0476190476190477,0.047619047619047616,0,0,West,11.608244735642321,10.239995502805316,0
10.0,NJ,OWN,90000.0,12.07,0,66.0,3,37,14,311437,54288,0,0,66.0,0,0,2,5,7.0,14,0,1,35500,24,11,2,4,97.3,0,0,debt_consolidation,joint,17600,60,126600.0,12.18,0,0,0,0,15,0.13902053712480253,0.027804107424960502,0.17431454836772767,0.3783783783783784,0.18181818181818182,0.4583333333333333,0.13513513513513514,2.466666666666667,0.2,0,0,Northeast,11.748795687555171,9.77571099759397,0
6.0,CA,OWN,45001.0,11.52,0,999.0,1,9,3,15000,13186,0,0,999.0,0,0,1,3,6.0,3,0,0,0,7,2,2,0,100.0,0,0,medical,individual,18000,36,45001.0,11.52,1,1,0,1,5,0.39999111130863757,0.13333037043621251,0.8790666666666667,0.3333333333333333,1.0,0.2857142857142857,0.3333333333333333,1.8,0.2,0,0,West,10.714462212209277,9.798182590890704,0
10.0,NY,MORTGAGE,59182.0,19.81,2,5.0,2,13,7,185847,48874,0,0,45.0,0,0,2,1,8.0,7,0,3,30800,5,4,3,2,76.9,0,0,credit_card,individual,19000,36,59182.0,19.81,0,0,0,0,13,0.3210435605420567,0.10701452018068558,0.26297976292326486,0.5384615384615384,0.75,0.8,0.07692307692307693,1.0,0.15384615384615385,2,1,Northeast,10.988389617470986,9.852246888342531,0
3.0,OH,MORTGAGE,63000.0,16.32,0,999.0,0,32,11,344508,127479,0,0,999.0,0,0,4,3,999.0,11,0,3,17000,9,6,5,1,100.0,0,0,debt_consolidation,joint,28800,60,106000.0,22.56,1,1,1,0,14,0.27169811320754716,0.05433962264150943,0.37003204569995474,0.34375,0.8333333333333334,0.6666666666666666,0.09375,2.2857142857142856,0.0,0,0,Midwest,11.571203807011969,10.268165387743457,0
2.0,OK,MORTGAGE,120000.0,15.39,0,999.0,8,25,18,287035,67857,0,0,999.0,0,0,3,15,6.0,18,0,7,13500,15,14,9,1,100.0,0,0,credit_card,individual,18000,36,120000.0,15.39,1,1,0,0,6,0.15,0.05,0.23640670998310312,0.72,0.6428571428571429,0.9333333333333333,0.6,4.166666666666667,1.3333333333333333,0,0,South,11.695255355062795,9.798182590890704,0
0.0,CA,RENT,25000.0,19.54,0,999.0,1,5,4,15489,6960,0,0,999.0,0,0,1,2,12.0,4,0,1,2500,3,3,2,0,100.0,0,0,major_purchase,individual,15000,36,25000.0,19.54,1,1,0,0,3,0.6,0.19999999999999998,0.4493511524307573,0.8,0.6666666666666666,1.0,0.4,1.6666666666666667,0.3333333333333333,0,0,West,10.12667110305036,9.61587214452889,0
0.0,OH,MORTGAGE,120000.0,52.91,0,999.0,1,51,29,423055,212517,0,0,999.0,0,154,10,9,11.0,29,0,4,14900,24,18,10,1,100.0,0,0,other,joint,16000,36,188536.0,34.57,1,1,0,0,15,0.0848644290745534,0.028288143024851133,0.5023389393814043,0.5686274509803921,0.5555555555555556,0.75,0.17647058823529413,3.4,0.06666666666666667,0,0,Midwest,12.147049553080683,9.680406499268875,0
10.0,OR,MORTGAGE,132323.0,0.0,0,99.0,0,23,6,454600,0,0,0,99.0,0,0,0,5,13.0,6,0,0,800,19,4,0,4,81.8,0,0,other,individual,10000,60,132323.0,0.0,0,0,0,0,13,0.07557265176877792,0.015114530353755583,0.0,0.2608695652173913,0.0,0.21052631578947367,0.21739130434782608,1.7692307692307692,0.0,0,0,West,11.793008739546678,9.210440366976517,0
2.0,MD,RENT,100000.0,2.95,0,999.0,4,12,8,76500,5783,0,0,999.0,0,0,0,5,0.0,8,0,7,76500,9,8,7,0,100.0,0,0,credit_card,individual,10000,36,100000.0,2.95,1,1,0,0,9,0.1,0.03333333333333333,0.07559477124183006,0.6666666666666666,0.875,0.8888888888888888,0.4166666666666667,1.3333333333333333,0.4444444444444444,0,0,South,11.51293546492023,9.210440366976517,0
4.0,AZ,OWN,67000.0,18.25,0,999.0,0,14,10,239814,23243,0,1,999.0,0,0,1,3,18.0,10,0,4,13000,9,8,6,1,100.0,0,1,debt_consolidation,individual,10000,36,67000.0,18.25,1,1,0,0,13,0.14925373134328357,0.04975124378109453,0.0969209470673105,0.7142857142857143,0.75,0.8888888888888888,0.21428571428571427,1.0769230769230769,0.0,2,1,West,11.112462823634855,9.210440366976517,0
10.0,IL,RENT,49000.0,16.79,0,26.0,7,12,7,40843,31908,0,0,999.0,0,0,1,7,9.0,7,0,4,11400,6,6,5,0,100.0,0,0,credit_card,individual,10000,36,49000.0,16.79,0,1,0,0,9,0.20408163265306123,0.06802721088435373,0.7812354626251744,0.5833333333333334,0.8333333333333334,1.0,0.5833333333333334,1.3333333333333333,0.7777777777777778,0,0,Midwest,10.799595985047786,9.210440366976517,0
5.0,NJ,RENT,75000.0,14.83,2,12.0,0,9,6,38958,22488,0,0,17.0,0,0,1,3,999.0,6,0,1,14300,5,4,1,0,87.5,0,0,debt_consolidation,individual,20000,36,75000.0,14.83,0,0,1,0,4,0.26666666666666666,0.08888888888888889,0.57723702448791,0.6666666666666666,0.25,0.8,0.3333333333333333,2.25,0.0,2,1,Northeast,11.225256725762893,9.90353755128617,0
10.0,WY,RENT,90000.0,11.57,0,77.0,0,13,8,38667,21543,0,1,999.0,0,0,4,6,999.0,8,0,2,7800,4,4,4,0,92.3,1,0,debt_consolidation,individual,11000,60,90000.0,11.57,0,1,1,0,6,0.12222222222222222,0.024444444444444446,0.5571417487780278,0.6153846153846154,1.0,1.0,0.46153846153846156,2.1666666666666665,0.0,2,1,West,11.407576060361786,9.305741456739435,0
10.0,NC,MORTGAGE,78000.0,33.52,0,999.0,2,23,9,418306,97701,0,0,999.0,0,0,3,5,8.0,9,0,1,24000,11,5,3,3,100.0,0,0,debt_consolidation,individual,21275,36,78000.0,33.52,1,1,0,0,16,0.27275641025641023,0.09091880341880341,0.233563467891926,0.391304347826087,0.6,0.45454545454545453,0.21739130434782608,1.4375,0.125,0,0,South,11.264476926102367,9.965334955862208,0
2.0,AZ,RENT,30000.0,14.32,0,56.0,3,7,4,25687,10351,0,0,999.0,0,1196,1,2,1.0,4,0,2,13800,4,3,2,0,85.7,0,0,debt_consolidation,individual,5000,36,30000.0,14.32,0,1,0,0,4,0.16666666666666666,0.05555555555555555,0.4029664810993888,0.5714285714285714,0.6666666666666666,0.75,0.2857142857142857,1.75,0.75,0,0,West,10.308985993422082,8.517393171418904,0
2.0,KS,OWN,40000.0,23.16,0,999.0,0,13,8,88949,85622,0,0,999.0,0,0,2,3,999.0,8,0,1,17000,9,6,2,0,100.0,0,0,credit_card,individual,18000,36,40000.0,23.16,1,1,1,0,12,0.45,0.15,0.9625965440870611,0.6153846153846154,0.3333333333333333,0.6666666666666666,0.23076923076923078,1.0833333333333333,0.0,0,0,Midwest,10.596659732783579,9.798182590890704,0
10.0,NJ,MORTGAGE,75000.0,27.63,0,32.0,1,14,6,95032,40414,0,0,999.0,0,0,2,3,10.0,6,0,2,23500,10,4,4,0,78.6,0,0,debt_consolidation,joint,31100,60,152000.0,15.0,0,1,0,0,15,0.20460526315789473,0.040921052631578955,0.42526727839043693,0.42857142857142855,1.0,0.4,0.21428571428571427,0.9333333333333333,0.06666666666666667,0,0,Northeast,11.931642378754141,10.344995251991222,0
10.0,AZ,RENT,50000.0,16.75,1,18.0,0,17,10,237699,20149,0,0,999.0,0,0,1,2,18.0,10,0,4,11600,13,8,6,2,88.2,0,0,other,individual,8000,36,50000.0,16.75,0,1,0,0,11,0.16,0.05333333333333333,0.0847668690234288,0.5882352941176471,0.75,0.6153846153846154,0.11764705882352941,1.5454545454545454,0.0,1,1,West,10.819798284210286,8.987321812850125,0
4.0,AR,MORTGAGE,106000.0,18.67,0,52.0,3,52,23,344324,109982,0,0,52.0,0,10266,2,10,3.0,23,0,3,24300,36,20,8,5,92.3,0,0,home_improvement,individual,5500,36,106000.0,18.67,0,0,0,0,18,0.05188679245283019,0.01729559748427673,0.31941427260371047,0.4423076923076923,0.4,0.5555555555555556,0.19230769230769232,2.888888888888889,0.16666666666666666,0,0,South,11.571203807011969,8.612685172875459,0
4.0,MA,MORTGAGE,110000.0,30.79,1,19.0,2,25,17,515103,105867,0,0,61.0,0,9476,3,3,3.0,16,0,5,15800,18,13,11,2,83.3,0,0,medical,individual,6675,36,110000.0,30.79,0,0,0,0,31,0.060681818181818184,0.02022727272727273,0.20552588511423928,0.68,0.8461538461538461,0.7222222222222222,0.12,0.8064516129032258,0.06451612903225806,1,1,Northeast,11.608244735642321,8.806274284781725,0
0.0,WA,MORTGAGE,94000.0,9.09,0,999.0,8,19,15,45669,16075,0,0,999.0,0,0,3,3,0.0,15,0,8,28500,12,12,9,0,100.0,0,0,debt_consolidation,individual,20000,36,94000.0,9.09,1,1,0,0,11,0.2127659574468085,0.07092198581560284,0.35198931441459197,0.7894736842105263,0.75,1.0,0.15789473684210525,1.7272727272727273,0.7272727272727273,0,0,West,11.451060699493427,9.90353755128617,0
3.0,IN,MORTGAGE,40000.0,20.85,0,999.0,0,12,8,100370,8187,0,0,999.0,0,0,2,2,18.0,8,0,2,7300,8,5,2,2,100.0,0,0,medical,individual,5000,36,40000.0,20.85,1,1,0,0,13,0.125,0.041666666666666664,0.08156819766862608,0.6666666666666666,0.4,0.625,0.16666666666666666,0.9230769230769231,0.0,0,0,Midwest,10.596659732783579,8.517393171418904,0
3.0,GA,RENT,50000.0,32.19,0,999.0,1,14,12,74670,67420,0,0,999.0,0,0,2,1,6.0,11,0,6,15350,11,9,10,0,100.0,0,0,debt_consolidation,individual,18000,36,50000.0,32.19,1,1,0,0,8,0.36,0.12,0.9029061202624883,0.8571428571428571,1.1111111111111112,0.8181818181818182,0.07142857142857142,1.75,0.125,0,0,South,10.819798284210286,9.798182590890704,0
10.0,CA,MORTGAGE,70000.0,10.97,0,999.0,1,30,10,560929,34417,0,0,999.0,0,0,1,7,7.0,10,0,3,44800,14,8,3,8,100.0,0,0,debt_consolidation,joint,15000,60,91600.0,8.87,1,1,0,0,13,0.16375545851528384,0.03275109170305677,0.061357141456405355,0.3333333333333333,0.375,0.5714285714285714,0.23333333333333334,2.3076923076923075,0.07692307692307693,0,0,West,11.425197467633199,9.61587214452889,0
0.0,NC,RENT,54000.0,11.11,0,67.0,5,12,7,27224,16500,0,0,67.0,0,0,1,6,3.0,7,0,4,7800,6,6,4,0,83.3,0,0,debt_consolidation,individual,2000,36,54000.0,11.11,0,0,0,0,7,0.037037037037037035,0.01234567901234568,0.6060828680575963,0.5833333333333334,0.6666666666666666,1.0,0.5,1.7142857142857142,0.7142857142857143,0,0,South,10.896757843893464,7.601402334583733,0
7.0,LA,RENT,77100.0,22.35,0,999.0,0,12,7,57500,32380,0,0,999.0,0,0,2,0,999.0,7,0,3,22500,7,5,3,0,100.0,0,0,debt_consolidation,individual,14000,60,77100.0,22.35,1,1,1,0,11,0.1815823605706874,0.03631647211413749,0.5631304347826087,0.5833333333333334,0.6,0.7142857142857143,0.0,1.0909090909090908,0.0,0,0,South,11.252871529635922,9.546884034617925,0
6.0,CA,RENT,36051.0,17.51,0,999.0,3,25,16,29800,7861,0,1,999.0,0,200,2,6,7.0,16,0,5,18700,20,14,9,0,100.0,0,1,credit_card,individual,6000,36,36051.0,17.51,1,1,0,1,17,0.16643088957310476,0.05547696319103492,0.2637919463087248,0.64,0.6428571428571429,0.7,0.24,1.4705882352941178,0.17647058823529413,2,1,West,10.4927176196763,8.699681400989514,0
10.0,NJ,MORTGAGE,45000.0,34.8,0,999.0,3,22,10,461134,55904,0,0,999.0,0,0,3,5,4.0,10,0,3,28200,11,6,5,2,100.0,0,0,debt_consolidation,joint,16000,60,147000.0,22.92,1,1,0,0,14,0.10884353741496598,0.0217687074829932,0.12123157260145641,0.45454545454545453,0.8333333333333334,0.5454545454545454,0.22727272727272727,1.5714285714285714,0.21428571428571427,0,0,Northeast,11.898194668458823,9.680406499268875,0
3.0,NH,RENT,60000.0,3.16,0,999.0,2,14,9,8900,3410,0,1,999.0,0,1414,0,2,0.0,9,0,5,8500,8,7,5,0,100.0,0,1,major_purchase,individual,6000,36,60000.0,3.16,1,1,0,0,9,0.1,0.03333333333333333,0.3831460674157303,0.6428571428571429,0.7142857142857143,0.875,0.14285714285714285,1.5555555555555556,0.2222222222222222,2,1,Northeast,11.002116507732017,8.699681400989514,0
6.0,IN,RENT,0.0,17.57,0,28.0,5,6,5,10100,4225,0,0,999.0,0,0,0,2,3.0,5,0,1,5600,6,5,2,0,83.3,0,0,credit_card,joint,5200,36,28000.0,5.61,0,1,0,1,15,0.18571428571428572,0.06190476190476191,0.4183168316831683,0.8333333333333334,0.4,0.8333333333333334,0.3333333333333333,0.4,0.3333333333333333,0,0,Midwest,10.239995502805316,8.556606193773073,0
10.0,VA,RENT,61000.0,14.7,0,80.0,0,18,10,47642,21256,0,0,80.0,0,0,3,6,22.0,10,0,4,13000,11,7,4,0,100.0,0,0,debt_consolidation,individual,1000,36,61000.0,14.7,0,0,0,0,13,0.01639344262295082,0.005464480874316941,0.44616095042189663,0.5555555555555556,0.5714285714285714,0.6363636363636364,0.3333333333333333,1.3846153846153846,0.0,0,0,South,11.0186455364637,6.90875477931522,0
5.0,MN,MORTGAGE,75000.0,1.89,0,39.0,0,20,5,188550,3751,0,0,999.0,0,0,0,1,21.0,5,0,1,26500,15,4,1,2,95.0,0,0,debt_consolidation,individual,3500,36,75000.0,1.89,0,1,0,0,15,0.04666666666666667,0.015555555555555557,0.019893927340228056,0.25,0.25,0.26666666666666666,0.05,1.3333333333333333,0.0,0,0,Midwest,11.225256725762893,8.160803920954665,0
10.0,TX,OWN,48000.0,25.98,0,999.0,0,11,9,452877,41355,0,0,999.0,0,0,1,4,19.0,9,0,3,30000,9,7,5,1,100.0,0,0,home_improvement,joint,8000,36,120000.0,21.17,1,1,0,0,33,0.06666666666666667,0.022222222222222223,0.09131618518935605,0.8181818181818182,0.7142857142857143,0.7777777777777778,0.36363636363636365,0.3333333333333333,0.0,0,0,South,11.695255355062795,8.987321812850125,0
